symbol,company
GFI,Gold Fields Ltd
CF,CF Holdings Inc
MU,Micron Technology Inc
PANW,Palo Alto Networks Inc
APP,Applovin Corp
LKNCY,Luckin Coffee
LRCX,Lam Research Corp
CELH,Celsius Holdings Inc
CCJ,Cameco Corp
V,Visa Inc
LLY,Eli Lily and Company
ARGX,Argenx NV ADR
AXON,Axon Enterprise Inc
GE,GE Aerospace
VRT,Vertiv Holdings Inc
WELL,Welltower Inc
SPG,Simon Property Group
NVDA,Nvidia Corporation
MPWR,Monolithic Power Systems Inc
AVGO,Broadcom Inc
META,Meta Platforms
MSFT,Microsoft Corporation
VST,Vistra Energy Corp
KRYS,Krystal Biotech Inc
PSIX,Power Solutions International Inc
FLR,Fluor Corporation
IMAX,IMAX Corp
WLDN,Willdan Group
DUOL,Duolingo Inc
CWCO,Consolidated Water Co LTD
ATO,Atmos Energy Corp
SEI,Solaris Energy Infrastructure
